date_ymd,time_to_travel_grouping,length_of_stay_grouping,platform_country_code,adv_id,clicks,bookings,booking_rev_EURcent,cost_EURcent
20200622,29,7,BE,56,2,0,0,4
20200525,5,1,TH,58,4,0,0,3
20201128,15,15,TR,90,3,0,0,0
20200722,0,1,AE,56,125,0,0,1151
20200802,2,2,PT,402,32,0,0,311
20200605,15,1,KR,64,55,1,6336,394
20200427,41,1,US,56,30,0,0,131
20200708,0,4,MY,402,2,0,0,8
20200725,29,4,AE,56,5,0,0,60
20200709,0,1,ZA,56,10,0,0,45
20200729,0,2,AT,90,2,0,0,37
20201111,41,7,CL,56,5,0,0,65
20201003,301,1,IN,56,2,0,0,11
20201224,8,3,US,64,43,2,71480,3438
20200819,41,2,BE,58,50,2,120690,555
20200828,29,2,HK,56,25,0,0,310
20200616,41,15,ES,56,2,0,0,2
20200812,8,1,NL,402,103,1,7406,1272
20201006,8,1,IE,64,13,0,0,162
20200814,2,7,YY,345,2,0,0,27
20200605,5,7,US,402,3,0,0,27
20201009,2,1,ZZ,56,283,17,107667,5501
20200420,15,1,ZA,402,35,0,0,138
20201129,15,8,ID,56,2,0,0,48
20200820,0,7,YY,90,4,1,37637,371
20200825,29,2,US,58,162,5,249871,5176
20201021,29,1,CH,64,44,0,0,1070
20200707,15,8,ES,64,47,2,224205,858
20201208,5,1,CZ,56,22,0,0,126
20200511,15,1,GR,56,80,0,0,73
20200730,2,3,IE,90,7,1,34742,51
20200703,2,1,HR,402,160,0,0,622
20200516,2,1,KR,402,4,0,0,16
20200805,2,4,GR,345,32,0,0,98
20200708,2,4,US,90,7,0,0,408
20200501,8,4,XX,402,5,1,16034,56
20200719,29,2,HU,64,2,0,0,1
20200531,5,4,US,56,8,0,0,177
20200522,15,2,AE,56,6,0,0,40
20200716,15,4,BE,56,7,0,0,37
20200817,41,7,HK,64,5,0,0,61
20200921,8,1,PT,58,2,0,0,6
20200808,0,2,NL,90,49,1,23009,703
20200417,0,1,US,64,28,4,27130,1361
20201020,2,2,IN,64,62,0,0,730
20200409,5,1,CL,402,2,0,0,8
20200828,29,1,NL,402,10,0,0,80
20200716,8,4,US,64,507,35,2488647,51175
20201116,2,2,TW,90,7,0,0,93
20200923,41,7,AT,58,5,0,0,92
20201231,41,3,AT,64,4,0,0,79
20200708,8,13,ES,64,5,0,0,142
20201012,15,2,FI,64,25,1,11623,1684
20200617,5,1,FI,56,12,0,0,80
20200613,0,2,TH,56,26,0,0,161
20200628,41,3,MY,64,4,0,0,33
